ID,SMILES,canonicalSMILES,CharList,CharLen,Tg_pred
P079045.mol,*c1ccc2nc3c(Sc4cc(ccc4N3)c3cc4Sc5c(Nc4cc3)nc3ccc(cc3n5)O*)nc2c1,[*]Oc1ccc2nc3c(nc2c1)Sc1cc(-c2ccc4c(c2)Sc2nc5cc([*])ccc5nc2N4)ccc1N3,"['*', 'c', '1', 'c', 'c', 'c', '2', 'n', 'c', '3', 'c', '(', 'S', 'c', '4', 'c', 'c', '(', 'c', 'c', 'c', '4', 'N', '3', ')', 'c', '3', 'c', 'c', '4', 'S', 'c', '5', 'c', '(', 'N', 'c', '4', 'c', 'c', '3', ')', 'n', 'c', '3', 'c', 'c', 'c', '(', 'c', 'c', '3', 'n', '5', ')', 'O', '*', ')', 'n', 'c', '2', 'c', '1']",63,405.60495
P089044.mol,*c1cc2Sc3c(=Nc2cc1)[nH]c1ccc(cc1n3)c1ccc2[nH]c3=Nc4c(Sc3nc2c1)cc(cc4)*,[*]c1ccc2c(c1)SC1=Nc3cc(-c4ccc5c(c4)N=C4Sc6cc([*])ccc6N=C4N5)ccc3NC1=N2,"['*', 'c', '1', 'c', 'c', '2', 'S', 'c', '3', 'c', '(', '=', 'N', 'c', '2', 'c', 'c', '1', ')', '[', 'n', 'H', ']', 'c', '1', 'c', 'c', 'c', '(', 'c', 'c', '1', 'n', '3', ')', 'c', '1', 'c', 'c', 'c', '2', '[', 'n', 'H', ']', 'c', '3', '=', 'N', 'c', '4', 'c', '(', 'S', 'c', '3', 'n', 'c', '2', 'c', '1', ')', 'c', 'c', '(', 'c', 'c', '4', ')', '*']",70,404.22722999999996
P370217.mol,*c1nc2c([nH]1)ccc(c2)c1ccc2c(nc([nH]2)c2oc(cc2)*)c1,[*]c1nc2cc(-c3ccc4[nH]c(-c5ccc([*])o5)nc4c3)ccc2[nH]1,"['*', 'c', '1', 'n', 'c', '2', 'c', '(', '[', 'n', 'H', ']', '1', ')', 'c', 'c', 'c', '(', 'c', '2', ')', 'c', '1', 'c', 'c', 'c', '2', 'c', '(', 'n', 'c', '(', '[', 'n', 'H', ']', '2', ')', 'c', '2', 'o', 'c', '(', 'c', 'c', '2', ')', '*', ')', 'c', '1']",51,405.18282999999997
P370288.mol,*=C1OC(=c2cc3ccc4=CC(=*)C=c5ccc(c2)c3c45)c2c3c4c1ccc1cccc(c41)c1c3c(ccc1)cc2,[*]=c1cc2ccc3cc(=c4oc(=[*])c5ccc6cccc7c8cccc9ccc4c(c98)c5c67)cc4ccc(c1)c2c34,"['*', '=', 'C', '1', 'O', 'C', '(', '=', 'c', '2', 'c', 'c', '3', 'c', 'c', 'c', '4', '=', 'C', 'C', '(', '=', '*', ')', 'C', '=', 'c', '5', 'c', 'c', 'c', '(', 'c', '2', ')', 'c', '3', 'c', '4', '5', ')', 'c', '2', 'c', '3', 'c', '4', 'c', '1', 'c', 'c', 'c', '1', 'c', 'c', 'c', 'c', '(', 'c', '4', '1', ')', 'c', '1', 'c', '3', 'c', '(', 'c', 'c', 'c', '1', ')', 'c', 'c', '2']",76,408.51636
P370594.mol,*c1cc2c3n(c4ccc(cc4n3)Oc3ccc4n5c(nc4c3)c3ccc(cc3C5=O)C(*)(C(F)(F)F)C(F)(F)F)C(=O)c2cc1,[*]c1ccc2c(c1)-c1nc3cc(Oc4ccc5c(c4)nc4n5C(=O)c5cc(C([*])(C(F)(F)F)C(F)(F)F)ccc5-4)ccc3n1C2=O,"['*', 'c', '1', 'c', 'c', '2', 'c', '3', 'n', '(', 'c', '4', 'c', 'c', 'c', '(', 'c', 'c', '4', 'n', '3', ')', 'O', 'c', '3', 'c', 'c', 'c', '4', 'n', '5', 'c', '(', 'n', 'c', '4', 'c', '3', ')', 'c', '3', 'c', 'c', 'c', '(', 'c', 'c', '3', 'C', '5', '=', 'O', ')', 'C', '(', '*', ')', '(', 'C', '(', 'F', ')', '(', 'F', ')', 'F', ')', 'C', '(', 'F', ')', '(', 'F', ')', 'F', ')', 'C', '(', '=', 'O', ')', 'c', '2', 'c', 'c', '1']",86,405.2831
P373845.mol,*c1cc2n3c(=O)c4cc5c(cc4c3nc2cc1)c(=O)n1c2ccc(cc2nc51)O*,[*]Oc1ccc2c(c1)nc1c3cc4c(=O)n5c6cc([*])ccc6nc5c4cc3c(=O)n21,"['*', 'c', '1', 'c', 'c', '2', 'n', '3', 'c', '(', '=', 'O', ')', 'c', '4', 'c', 'c', '5', 'c', '(', 'c', 'c', '4', 'c', '3', 'n', 'c', '2', 'c', 'c', '1', ')', 'c', '(', '=', 'O', ')', 'n', '1', 'c', '2', 'c', 'c', 'c', '(', 'c', 'c', '2', 'n', 'c', '5', '1', ')', 'O', '*']",55,411.2678
P400229.mol,*c1cc2n3c(=O)c4cc5c(cc4c3nc2cc1)c(=O)n1c2ccc(cc2nc51)*,[*]c1ccc2c(c1)nc1c3cc4c(=O)n5c6cc([*])ccc6nc5c4cc3c(=O)n21,"['*', 'c', '1', 'c', 'c', '2', 'n', '3', 'c', '(', '=', 'O', ')', 'c', '4', 'c', 'c', '5', 'c', '(', 'c', 'c', '4', 'c', '3', 'n', 'c', '2', 'c', 'c', '1', ')', 'c', '(', '=', 'O', ')', 'n', '1', 'c', '2', 'c', 'c', 'c', '(', 'c', 'c', '2', 'n', 'c', '5', '1', ')', '*']",54,410.5026
P432274.mol,*n1c(=O)c2cc3c(cc2c1=O)c(=O)n(c3=O)c1ccc(cc1)c1c(cc(cc1c1ccc(cc1)c1ccccc1)c1ccc(cc1)c1cc(c(c(c1)c1ccc(cc1)c1ccccc1)c1ccc(cc1)*)c1ccc(cc1)c1ccccc1)c1ccc(cc1)c1ccccc1,[*]c1ccc(-c2c(-c3ccc(-c4ccccc4)cc3)cc(-c3ccc(-c4cc(-c5ccc(-c6ccccc6)cc5)c(-c5ccc(-n6c(=O)c7cc8c(=O)n([*])c(=O)c8cc7c6=O)cc5)c(-c5ccc(-c6ccccc6)cc5)c4)cc3)cc2-c2ccc(-c3ccccc3)cc2)cc1,"['*', 'n', '1', 'c', '(', '=', 'O', ')', 'c', '2', 'c', 'c', '3', 'c', '(', 'c', 'c', '2', 'c', '1', '=', 'O', ')', 'c', '(', '=', 'O', ')', 'n', '(', 'c', '3', '=', 'O', ')', 'c', '1', 'c', 'c', 'c', '(', 'c', 'c', '1', ')', 'c', '1', 'c', '(', 'c', 'c', '(', 'c', 'c', '1', 'c', '1', 'c', 'c', 'c', '(', 'c', 'c', '1', ')', 'c', '1', 'c', 'c', 'c', 'c', 'c', '1', ')', 'c', '1', 'c', 'c', 'c', '(', 'c', 'c', '1', ')', 'c', '1', 'c', 'c', '(', 'c', '(', 'c', '(', 'c', '1', ')', 'c', '1', 'c', 'c', 'c', '(', 'c', 'c', '1', ')', 'c', '1', 'c', 'c', 'c', 'c', 'c', '1', ')', 'c', '1', 'c', 'c', 'c', '(', 'c', 'c', '1', ')', '*', ')', 'c', '1', 'c', 'c', 'c', '(', 'c', 'c', '1', ')', 'c', '1', 'c', 'c', 'c', 'c', 'c', '1', ')', 'c', '1', 'c', 'c', 'c', '(', 'c', 'c', '1', ')', 'c', '1', 'c', 'c', 'c', 'c', 'c', '1']",164,411.92874
P433445.mol,*n1c(=O)c2cc3c(cc2c1=O)c(=O)n(c3=O)c1ccc2c(nc([nH]2)c2ccc(cc2)*)c1,[*]c1ccc(-c2nc3cc(-n4c(=O)c5cc6c(=O)n([*])c(=O)c6cc5c4=O)ccc3[nH]2)cc1,"['*', 'n', '1', 'c', '(', '=', 'O', ')', 'c', '2', 'c', 'c', '3', 'c', '(', 'c', 'c', '2', 'c', '1', '=', 'O', ')', 'c', '(', '=', 'O', ')', 'n', '(', 'c', '3', '=', 'O', ')', 'c', '1', 'c', 'c', 'c', '2', 'c', '(', 'n', 'c', '(', '[', 'n', 'H', ']', '2', ')', 'c', '2', 'c', 'c', 'c', '(', 'c', 'c', '2', ')', '*', ')', 'c', '1']",66,400.06332000000003
P433611.mol,*N1C(=O)c2cc3C(c4c(Oc3cc2C1=O)cc1C(=O)N(C(=O)c1c4)c1cc(c(cc1)c1c(cc(cc1)*)C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F,[*]c1ccc(-c2ccc(N3C(=O)c4cc5c(cc4C3=O)C(C(F)(F)F)(C(F)(F)F)c3cc4c(cc3O5)C(=O)N([*])C4=O)cc2C(F)(F)F)c(C(F)(F)F)c1,"['*', 'N', '1', 'C', '(', '=', 'O', ')', 'c', '2', 'c', 'c', '3', 'C', '(', 'c', '4', 'c', '(', 'O', 'c', '3', 'c', 'c', '2', 'C', '1', '=', 'O', ')', 'c', 'c', '1', 'C', '(', '=', 'O', ')', 'N', '(', 'C', '(', '=', 'O', ')', 'c', '1', 'c', '4', ')', 'c', '1', 'c', 'c', '(', 'c', '(', 'c', 'c', '1', ')', 'c', '1', 'c', '(', 'c', 'c', '(', 'c', 'c', '1', ')', '*', ')', 'C', '(', 'F', ')', '(', 'F', ')', 'F', ')', 'C', '(', 'F', ')', '(', 'F', ')', 'F', ')', '(', 'C', '(', 'F', ')', '(', 'F', ')', 'F', ')', 'C', '(', 'F', ')', '(', 'F', ')', 'F']",110,402.4461
P460115.mol,*c1cc2nc3c4c5c6c(c3nc2cc1)cccc6c1nc2ccc(cc2nc1c5ccc4)*,[*]c1ccc2nc3c4cccc5c6nc7ccc([*])cc7nc6c6cccc(c3nc2c1)c6c45,"['*', 'c', '1', 'c', 'c', '2', 'n', 'c', '3', 'c', '4', 'c', '5', 'c', '6', 'c', '(', 'c', '3', 'n', 'c', '2', 'c', 'c', '1', ')', 'c', 'c', 'c', 'c', '6', 'c', '1', 'n', 'c', '2', 'c', 'c', 'c', '(', 'c', 'c', '2', 'n', 'c', '1', 'c', '5', 'c', 'c', 'c', '4', ')', '*']",54,404.17843999999997
P520016.mol,*=C1C=c2ccc3cc(=C4c5ccccc5C(=*)c5ccccc45)cc4ccc(=C1)c2c34,[*]=c1cc2ccc3cc(=c4c5ccccc5c(=[*])c5ccccc45)cc4ccc(c1)c2c34,"['*', '=', 'C', '1', 'C', '=', 'c', '2', 'c', 'c', 'c', '3', 'c', 'c', '(', '=', 'C', '4', 'c', '5', 'c', 'c', 'c', 'c', 'c', '5', 'C', '(', '=', '*', ')', 'c', '5', 'c', 'c', 'c', 'c', 'c', '4', '5', ')', 'c', 'c', '4', 'c', 'c', 'c', '(', '=', 'C', '1', ')', 'c', '2', 'c', '3', '4']",57,419.25847999999996
